U1,C1,Sub1,U2,C2,Sub2,U3,C3,Sub3
0.233766233766234,0.288711288711289,NaN,0.107892107892108,0.834165834165834,NaN,0.037962037962038,0.363636363636364,NaN
0.0539460539460539,0.003996003996004,0.746253746253746,0.164835164835165,0.01998001998002,NaN,0.031968031968032,0.001998001998002,0.866133866133866
0.804195804195804,0.804195804195804,NaN,0.00599400599400599,0.997002997002997,0.000999000999000999,0.031968031968032,0.929070929070929,NaN
0.136863136863137,0.00599400599400599,0.794205794205794,0.0659340659340659,0.166833166833167,NaN,0.01998001998002,0.00599400599400599,0.536463536463537
0.115884115884116,0.267732267732268,NaN,0.103896103896104,0.87012987012987,NaN,0.04995004995005,0.48951048951049,NaN
0.0639360639360639,0.212787212787213,NaN,0.32967032967033,0.512487512487512,NaN,0.051948051948052,0.185814185814186,NaN
0.013986013986014,0.532467532467532,0.021978021978022,0.03996003996004,0.915084915084915,NaN,0.003996003996004,0.73026973026973,0.002997002997003
0.165834165834166,0.345654345654346,NaN,0.015984015984016,0.578421578421578,NaN,0.0639360639360639,0.361638361638362,NaN
0.0649350649350649,0.0649350649350649,NaN,0.141858141858142,0.35964035964036,NaN,0.043956043956044,0.0949050949050949,NaN
0.00999000999000999,0.0849150849150849,0.114885114885115,0.156843156843157,0.156843156843157,NaN,0.013986013986014,0.030969030969031,0.312687312687313
0.345654345654346,0.325674325674326,NaN,0.593406593406593,0.593406593406593,NaN,0.624375624375624,0.624375624375624,NaN
0.454545454545455,0.0639360639360639,NaN,0.471528471528472,0.471528471528472,NaN,0.291708291708292,0.291708291708292,NaN
0.025974025974026,0.001998001998002,0.285714285714286,0.706293706293706,0.001998001998002,0.002997002997003,0.215784215784216,0.001998001998002,0.010989010989011
0.235764235764236,0.023976023976024,NaN,0.285714285714286,0.123876123876124,NaN,0.371628371628372,0.0659340659340659,NaN
0.217782217782218,0.047952047952048,NaN,0.96003996003996,0.001998001998002,0.001998001998002,0.833166833166833,0.001998001998002,0.002997002997003
0.144855144855145,0.001998001998002,0.0939060939060939,0.791208791208791,0.03996003996004,NaN,0.296703296703297,0.00799200799200799,0.0759240759240759
0.303696303696304,0.017982017982018,NaN,0.672327672327672,0.115884115884116,NaN,0.608391608391608,0.013986013986014,0.037962037962038
0.137862137862138,0.137862137862138,NaN,0.190809190809191,0.0919080919080919,NaN,0.110889110889111,0.021978021978022,0.291708291708292
0.321678321678322,0.01998001998002,NaN,0.606393606393606,0.127872127872128,NaN,0.37962037962038,0.01998001998002,0.0779220779220779
0.314685314685315,0.00599400599400599,0.0789210789210789,0.841158841158841,0.02997002997003,NaN,0.532467532467532,0.003996003996004,0.015984015984016
0.562437562437562,0.562437562437562,NaN,0.431568431568432,0.431568431568432,NaN,0.204795204795205,0.204795204795205,NaN
0.187812187812188,0.027972027972028,NaN,0.917082917082917,0.001998001998002,0.000999000999000999,0.676323676323676,0.001998001998002,0.00699300699300699
0.345654345654346,0.235764235764236,NaN,0.595404595404595,0.215784215784216,NaN,0.421578421578422,0.297702297702298,NaN
0.567432567432567,0.567432567432567,NaN,0.368631368631369,0.368631368631369,NaN,0.542457542457542,0.542457542457542,NaN
0.563436563436563,0.563436563436563,NaN,0.714285714285714,0.714285714285714,NaN,0.779220779220779,0.779220779220779,NaN
