subject_id,N_U,R_U,N_C1,R_C1,N_C2,R_C2
401,153,80,78,76,50,48
402,60,36,85,84,151,151
403,79,47,123,119,6,6
404,93,40,118,115,153,151
405,22,10,126,126,237,233
406,129,68,100,91,101,83
407,70,40,108,107,145,145
408,182,96,80,79,4,4
409,30,12,103,103,209,208
410,108,48,88,87,146,141
411,106,61,120,116,129,128
412,161,89,121,121,15,15
413,57,30,106,103,138,134
415,64,32,67,64,168,162
416,20,10,125,125,230,230
417,168,90,121,121,55,50
418,137,77,103,97,4,4
419,65,39,101,100,118,113
420,84,40,117,117,110,105
421,194,92,115,114,5,5
422,186,76,115,114,6,6
423,20,11,99,99,254,254
424,109,57,85,84,57,55
425,188,101,110,106,8,8
426,128,72,91,88,35,33
427,210,98,117,113,0,NaN
