PvalFV,ESFV,PvalC,ESC,PvalSub,ESSub
0.16,1.42,0.276,0.58,NaN,NaN
0.001,4.97,0.001,4.78,0.799,0.83
0.937,-1.22,0.937,-1.54,NaN,NaN
0.002,4.84,0.004,2.85,0.136,-1.05
0.154,1.41,0.475,0.05,NaN,NaN
0.026,2.24,0.096,1.32,0.334,-0.44
0.715,-0.26,0.715,-0.58,NaN,NaN
0.006,3.19,0.294,0.56,0.038,-1.84
0.002,4.24,0.061,1.61,0.045,-1.74
0.002,5.86,0.006,2.49,0.026,-1.99
0.002,4.42,0.225,0.76,0.005,-2.61
0.014,2.53,0.35,0.37,0.95,-1.68
0.001,10.25,0.001,4.69,0.998,-3.26
0.006,2.7,0.038,1.72,0.667,-0.45
0.001,7.33,0.001,3.82,0.967,-1.85
0.002,6.89,0.003,2.88,0.994,-2.52
0.002,6.27,0.019,2.11,0.995,-2.6
0.017,2.41,0.017,2.39,0.345,0.44
0.002,5.25,0.016,2.22,0.97,-1.8
0.002,6.19,0.006,2.79,0.979,-2.08
0.657,-0.45,0.38,0.91,NaN,NaN
0.001,6.63,0.001,3.38,0.967,-1.83
0.07,1.83,0.206,0.88,NaN,NaN
0.551,0.23,0.551,-0.15,NaN,NaN
0.797,0.05,0.797,-0.86,NaN,NaN
