PvalU,ESU,PvalC,ESC,PvalSub,ESSub
0.004,3.11,0.137,1.12,0.073,-1.46
0.011,2.45,0.002,4.78,0.914,1.38
0.002,3.32,0.833,-0.96,0.001,-2.97
0.002,3.04,0.002,3.38,0.498,0.04
0.008,2.82,0.199,0.88,0.08,-1.44
0.014,2.49,0.043,1.7,0.266,-0.61
0.002,3.81,0.448,0.11,0.007,-2.6
0.01,2.84,0.165,0.98,0.086,-1.36
0.004,3.39,0.012,2.23,0.175,-0.97
0.002,3.38,0.002,2.88,0.307,-0.54
0.161,1,0.074,1.71,NaN,NaN
0.146,1.46,0.248,0.67,NaN,NaN
0.154,1.03,0.002,4.99,0.009,2.47
0.226,0.8,0.078,1.84,NaN,NaN
0.628,-0.31,0.004,3.81,0.006,2.65
0.672,-0.46,0.006,3.06,0.008,2.29
0.307,0.49,0.02,2.54,0.096,1.27
0.667,-0.44,0.046,2.16,NaN,NaN
0.473,0.1,0.006,3.03,0.03,1.91
0.381,0.33,0.002,3.51,0.024,2
0.094,1.76,0.166,0.97,NaN,NaN
0.763,-0.68,0.002,3.28,0.009,2.5
0.227,0.76,0.227,1.04,NaN,NaN
0.162,1.37,0.344,0.35,NaN,NaN
0.26,1.11,0.672,-0.44,NaN,NaN
