U1,C1,Sub1,U2,C2,Sub2,U12,C12,Sub12
1.60076332946932,0.850571405522401,NaN,1.26718668636469,-0.674068838247864,NaN,2.76785344077152,0.562127014268964,-1.69452178136724
2.16183836531839,4.1291552286822,0.948665264007641,0.649926346279211,2.94781086474258,1.39226377536286,2.61510062550567,4.61013397679826,0.974768145782388
0.998109162239541,-1.33915547796072,NaN,2.5105565840579,-2.44012390316506,NaN,2.62982764852062,-1.46077255468631,-2.84654748356931
1.61349837622105,2.83992150136859,0.582217361816355,1.53629667210692,1.35171741779511,NaN,2.65478178563606,2.80309627979737,-0.260286493238682
2.27927969836923,0.22350242868532,-1.49778876231358,1.53741646925862,-0.645165025863959,NaN,2.33680951514425,0.0699857637254511,-1.7090957511339
2.77615894209017,1.28557339093745,-1.2286216019922,0.548429380207998,0.480719215354637,NaN,2.96576530755109,1.33080893584739,-1.37520317382115
3.99786886042898,-0.477705891291915,-3.19379795483473,1.71160311124016,-1.08908618263429,NaN,3.79309361566431,-0.554544962403391,-3.16638197386816
1.54335330544102,0.539985383569895,NaN,2.41841364547335,0.0909493168635157,NaN,2.58857903109841,0.554174170367141,-1.58316992806969
2.37489934907335,1.66260101185596,-0.698553952177972,1.43840565983798,0.708746621968141,NaN,2.84469465779021,1.5630503737671,-1.1706181970621
3.64329168384318,1.80649770594662,-1.51804529535436,0.636825636993048,1.61028848897717,NaN,2.89529089598634,2.4810013110403,-0.657397825236356
0.984411898111101,1.03124734757067,NaN,-0.161953416008286,0.973538635030554,NaN,0.815843074827396,0.782517436028764,NaN
0.196107512190054,1.71877965700808,NaN,0.227171899907112,0.235409654718504,NaN,0.660239161641895,0.368622592567796,NaN
2.72458808008778,3.61518536782491,0.315256895972576,-1.20679917662428,4.96067117382893,4.00572930815462,0.906493767049741,4.9705562619865,2.41833527410359
1.36078865772553,2.1399031327168,0.352873806523481,0.369539645068115,1.33789617945726,NaN,0.749508126833555,1.68718680423036,NaN
1.69825809670423,2.7429574920029,0.511665379678512,-1.81091713936021,3.75571191660782,3.76501296341545,-0.522843506936622,3.87475373503107,2.80404820452032
2.02328616394168,3.6220799533976,0.865194222374232,-0.913770940022049,2.27465984046537,NaN,0.345467405975888,2.92037835919344,1.56800388694359
0.836509949177674,1.95870882310248,NaN,-0.341216233999086,2.0849532873559,NaN,-0.0649830230094374,2.26887966983869,1.43542740959185
0.712030668692243,1.76350027173533,NaN,0.639497221769474,2.09395983415125,NaN,1.16745604937472,2.45483895638975,0.665570024910204
1.17818568980787,2.32556465515165,0.613893181827407,-0.610776187219732,1.63685395143601,NaN,0.0847135266501637,2.24025199130632,1.36696819873454
0.942771105212738,2.8705631490718,1.08505306513476,-0.98726984397893,2.7270379198311,2.43802262939076,-0.204275255530701,2.87785889594966,1.91395857874156
1.51621688863801,0.158367947662585,NaN,1.43540713038076,0.512581019350711,NaN,1.84826684332381,0.876617792311316,NaN
0.55044216428062,2.62187024819921,1.2577742283874,-1.09728697101497,4.14091052956643,3.42499960840421,-0.681137153464134,3.31562003076116,2.59755703407199
0.297026802451483,1.00571015246148,NaN,0.00962375600397008,1.71554638257625,NaN,0.21505671082159,0.87968293969863,NaN
1.11549374497,-0.657778384729346,NaN,0.0913151402253822,0.751987719394654,NaN,-0.0142818015241775,-0.112217839201813,NaN
-0.0294777577118607,-0.461782257738207,NaN,-0.673563876939637,0.0523978193532657,NaN,-0.42524318990878,-0.867284172696862,NaN
