Upval1,UeffectSize1,Cpval1,CeffectSize1,Upval2,UeffectSize2,Cpval2,CeffectSize2
0.105,1.27,0.001,25.2,0.001,3.43,0.001,24.7
0.133,-1.13,0.001,-27.88,0.012,-2.15,0.001,-26.07
0.044,1.73,0.001,12.16,0.101,1.3,0.001,14
0.337,0.41,0.995,-2.62,0.077,1.41,0.942,-1.51
0.203,0.79,0.001,3.69,0.104,1.32,0.01,2.19
0.049,1.58,0.001,35.94,0.011,2.37,0.001,35.77
0.026,-1.97,0.001,-34.32,0.011,-2.39,0.001,-30.87
0.181,0.91,0.001,18.85,0.109,1.26,0.001,17.06
0.159,-0.99,0.001,-21.46,0.04,-1.65,0.001,-22.97
0.045,1.81,0.001,6.36,0.916,-1.37,0.001,6.12
0.21,0.79,0.995,-2.49,0.253,0.63,0.996,-2.49
0.208,0.86,0.378,0.29,0.55,-0.13,0.942,-1.57
0.155,1.03,0.001,17.76,0.147,1.09,0.001,16.52
0.481,-0.07,0.001,-25.59,0.129,-1.13,0.001,-26.86
